"filename", "language", "JSON", "HTML", "Ignore", "JavaScript", "JSON with Comments", "TypeScript", "SCSS", "BibTeX", "LaTeX", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\projectCode\online-programming-learning-platform\src\components\List\IMList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\projectCode\online-programming-learning-platform\src\components\List\LoadMoreList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 1, 9, 109
"d:\projectCode\online-programming-learning-platform\src\components\List\PaginationList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 7, 96
"d:\projectCode\online-programming-learning-platform\src\components\List\RollList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 5, 4, 38
"d:\projectCode\online-programming-learning-platform\src\components\Loading\Loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\projectCode\online-programming-learning-platform\src\components\Navbar\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 5, 41
"d:\projectCode\online-programming-learning-platform\src\components\Navbar\PageNav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\projectCode\online-programming-learning-platform\src\components\Navbar\SubNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 7, 8, 84
"d:\projectCode\online-programming-learning-platform\src\components\Problem\Detail\ProblemDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 207, 0, 0, 7, 214
"d:\projectCode\online-programming-learning-platform\src\components\Problem\List\List.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 440, 0, 15, 31, 486
"d:\projectCode\online-programming-learning-platform\src\components\Problem\style.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 4, 12, 103
"d:\projectCode\online-programming-learning-platform\src\components\Problem\table\ProblemTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 0, 53, 18, 326
